OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.3,1064501830.0,5.33,2017-03-31,5.37,5.17
5.33,304163814.0,5.35,2017-04-03,5.46,5.32
5.36,102468565.0,5.32,2017-04-04,5.37,5.21
5.3,169072547.0,5.17,2017-04-05,5.32,5.1
5.15,103222187.0,5.2,2017-04-06,5.24,5.08
5.21,94155381.0,5.16,2017-04-07,5.27,5.12
5.16,36461037.0,5.23,2017-04-10,5.24,5.16
5.24,45715951.0,5.23,2017-04-11,5.24,5.2
5.24,39600741.0,5.28,2017-04-12,5.33,5.24
5.28,17682836.0,5.21,2017-04-17,5.28,5.2
5.22,25596354.0,5.19,2017-04-18,5.22,5.16
5.19,70392413.0,5.25,2017-04-19,5.32,5.17
5.25,21035803.0,5.23,2017-04-20,5.3,5.2
5.24,40899850.0,5.23,2017-04-21,5.26,5.22
5.23,31567448.0,5.21,2017-04-24,5.24,5.19
5.22,60631318.0,5.25,2017-04-25,5.25,5.22
5.26,205548511.0,5.42,2017-04-26,5.46,5.23
5.45,159604929.0,5.42,2017-04-27,5.56,5.39
5.44,33514048.0,5.36,2017-05-02,5.45,5.34
5.37,42949311.0,5.28,2017-05-03,5.37,5.25
5.29,76182415.0,5.36,2017-05-04,5.38,5.27
5.36,71700954.0,5.34,2017-05-05,5.36,5.32
5.34,74479283.0,5.37,2017-05-08,5.43,5.32
5.39,24091927.0,5.38,2017-05-09,5.39,5.33
5.38,58311670.0,5.39,2017-05-10,5.45,5.35
5.38,50663960.0,5.4,2017-05-11,5.42,5.34
5.41,28016053.0,5.39,2017-05-12,5.41,5.35
5.39,90937805.0,5.43,2017-05-15,5.49,5.39
5.45,71993755.0,5.4,2017-05-16,5.49,5.39
5.4,31373008.0,5.43,2017-05-17,5.43,5.38
5.42,85327905.0,5.35,2017-05-18,5.42,5.32
5.35,88006034.0,5.39,2017-05-19,5.46,5.35
5.41,24849643.0,5.39,2017-05-22,5.43,5.39
5.41,30554125.0,5.41,2017-05-23,5.41,5.39
