OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.32,16000.0,0.32,2009-08-07,0.32,0.32
0.32,19200.0,0.32,2009-08-12,0.32,0.32
0.31,112100.0,0.3,2009-08-17,0.31,0.3
0.3,3000.0,0.3,2009-08-20,0.3,0.3
0.3,3000.0,0.3,2009-08-25,0.3,0.3
0.3,63000.0,0.3,2009-08-26,0.3,0.3
0.27,2700.0,0.27,2009-09-30,0.27,0.27
0.29,2900.0,0.29,2009-10-06,0.29,0.29
0.29,2900.0,0.29,2009-10-08,0.29,0.29
0.35,23700.0,0.33,2009-10-09,0.35,0.33
0.33,3300.0,0.33,2009-10-12,0.33,0.33
0.26,588800.0,0.28,2009-10-15,0.3,0.26
0.27,47900.0,0.3,2009-10-16,0.32,0.27
0.3,372500.0,0.3,2009-10-19,0.3,0.28
0.28,162600.0,0.29,2009-10-20,0.29,0.28
0.3,19800.0,0.28,2009-10-21,0.3,0.28
0.29,89900.0,0.3,2009-10-26,0.3,0.29
0.3,443800.0,0.32,2009-10-27,0.33,0.3
0.34,417700.0,0.35,2009-10-28,0.36,0.33
0.37,10300.0,0.31,2009-10-29,0.37,0.31
0.33,56100.0,0.33,2009-10-30,0.33,0.33
0.34,27200.0,0.34,2009-11-04,0.34,0.34
0.33,122100.0,0.33,2009-11-05,0.33,0.33
0.32,38600.0,0.33,2009-11-06,0.33,0.32
0.32,118400.0,0.32,2009-11-09,0.32,0.32
0.32,56800.0,0.31,2009-11-11,0.32,0.31
0.26,21200.0,0.28,2009-12-17,0.28,0.26
0.28,19600.0,0.28,2009-12-21,0.28,0.28
0.29,2900.0,0.29,2009-12-22,0.29,0.29
0.3,3000.0,0.3,2010-01-04,0.3,0.3
0.3,15000.0,0.3,2010-01-07,0.3,0.3
0.31,3100.0,0.31,2010-01-11,0.31,0.31
0.3,18100.0,0.3,2010-01-12,0.31,0.3
0.3,6000.0,0.3,2010-01-13,0.3,0.3
0.3,120000.0,0.3,2010-01-15,0.3,0.3
0.3,45000.0,0.3,2010-01-18,0.3,0.3
0.29,61000.0,0.3,2010-01-19,0.3,0.29
0.3,70600.0,0.29,2010-01-21,0.3,0.29
0.29,8800.0,0.3,2010-01-25,0.3,0.29
0.35,6500.0,0.3,2010-02-01,0.35,0.3
0.27,48600.0,0.27,2010-02-03,0.27,0.27
0.3,136500.0,0.28,2010-02-04,0.3,0.28
0.25,120900.0,0.26,2010-02-05,0.28,0.25
0.28,2800.0,0.28,2010-02-08,0.28,0.28
0.27,13500.0,0.27,2010-03-08,0.27,0.27
0.27,13500.0,0.27,2010-03-15,0.27,0.27
0.27,13500.0,0.27,2010-03-31,0.27,0.27
0.27,27000.0,0.27,2010-04-20,0.27,0.27
0.27,61300.0,0.26,2010-04-21,0.27,0.26
0.27,50800.0,0.26,2010-04-22,0.27,0.26
0.26,52000.0,0.26,2010-04-23,0.26,0.26
0.27,27000.0,0.27,2010-04-29,0.27,0.27
0.27,108000.0,0.27,2010-05-04,0.27,0.27
0.26,5200.0,0.26,2010-05-17,0.26,0.26
0.26,2600.0,0.26,2010-05-21,0.26,0.26
0.25,7700.0,0.27,2010-05-25,0.27,0.25
0.26,5300.0,0.27,2010-06-01,0.27,0.26
0.26,18300.0,0.27,2010-06-02,0.27,0.26
0.25,20000.0,0.25,2010-06-07,0.25,0.25
0.27,2700.0,0.27,2010-06-08,0.27,0.27
0.25,30300.0,0.26,2010-06-21,0.26,0.25
0.25,27600.0,0.26,2010-06-29,0.26,0.25
0.29,42200.0,0.27,2010-07-02,0.29,0.26
0.27,48600.0,0.27,2010-07-07,0.27,0.27
0.27,202600.0,0.26,2010-07-09,0.27,0.26
0.26,10400.0,0.26,2010-07-21,0.26,0.26
0.26,77900.0,0.27,2010-07-22,0.27,0.26
0.27,13500.0,0.27,2010-09-20,0.27,0.27
0.265,18550.0,0.265,2010-09-21,0.265,0.265
0.265,322550.0,0.27,2010-09-22,0.27,0.25
0.28,276850.0,0.275,2010-09-24,0.28,0.27
0.285,811650.0,0.29,2010-09-27,0.3,0.285
0.29,39250.0,0.275,2010-09-28,0.29,0.275
0.29,147900.0,0.29,2010-09-29,0.29,0.29
0.3,51300.0,0.29,2010-09-30,0.3,0.28
0.29,5800.0,0.29,2010-10-01,0.29,0.29
0.285,5800.0,0.295,2010-10-04,0.295,0.285
0.3,93400.0,0.295,2010-10-05,0.3,0.29
0.295,241700.0,0.3,2010-10-06,0.3,0.29
0.295,41900.0,0.3,2010-10-07,0.3,0.295
0.3,223850.0,0.305,2010-10-08,0.305,0.3
0.295,144550.0,0.295,2010-10-12,0.295,0.295
0.29,43500.0,0.29,2010-10-13,0.29,0.29
0.31,36200.0,0.31,2010-10-14,0.31,0.3
0.315,72550.0,0.32,2010-10-15,0.32,0.315
0.3,24150.0,0.315,2010-10-18,0.315,0.3
0.315,37350.0,0.315,2010-10-19,0.315,0.3
0.31,6200.0,0.31,2010-10-22,0.31,0.31
0.31,3100.0,0.31,2010-10-26,0.31,0.31
0.3,6000.0,0.3,2010-11-02,0.3,0.3
0.295,20800.0,0.305,2010-11-03,0.305,0.295
0.3,57050.0,0.305,2010-11-08,0.305,0.3
0.295,17800.0,0.305,2010-11-09,0.305,0.295
0.295,32550.0,0.305,2010-11-11,0.305,0.295
0.275,27500.0,0.275,2010-11-17,0.275,0.275
0.305,6050.0,0.3,2010-11-18,0.305,0.3
0.3,6000.0,0.3,2010-11-19,0.3,0.3
0.28,227000.0,0.28,2010-11-23,0.3,0.28
0.3,3000.0,0.3,2010-11-24,0.3,0.3
0.275,297400.0,0.27,2010-11-26,0.275,0.27
0.29,2900.0,0.29,2010-11-30,0.29,0.29
0.27,78300.0,0.27,2010-12-01,0.27,0.27
0.29,5750.0,0.285,2010-12-02,0.29,0.285
0.27,380700.0,0.27,2010-12-03,0.27,0.27
0.3,16500.0,0.27,2010-12-07,0.3,0.27
0.27,5400.0,0.27,2010-12-08,0.27,0.27
0.295,2950.0,0.295,2010-12-23,0.295,0.295
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.28,56000.0,0.28,2010-12-28,0.28,0.28
0.295,2950.0,0.295,2010-12-29,0.295,0.295
0.295,2950.0,0.295,2010-12-29,0.295,0.295
0.3,12100.0,0.31,2011-01-03,0.31,0.3
0.3,12100.0,0.31,2011-01-03,0.31,0.3
0.3,12100.0,0.31,2011-01-03,0.31,0.3
0.3,186000.0,0.3,2011-01-04,0.3,0.28
0.29,34800.0,0.29,2011-01-05,0.29,0.29
0.29,17600.0,0.295,2011-01-06,0.295,0.29
0.3,1546200.0,0.31,2011-01-07,0.33,0.295
0.33,92800.0,0.32,2011-01-10,0.33,0.31
0.3,6200.0,0.32,2011-01-11,0.32,0.3
0.3,6200.0,0.32,2011-01-11,0.32,0.3
0.33,128300.0,0.31,2011-01-12,0.33,0.31
0.315,79600.0,0.33,2011-01-13,0.33,0.315
0.33,338300.0,0.34,2011-01-14,0.34,0.33
0.35,508600.0,0.45,2011-01-17,0.49,0.35
0.45,530150.0,0.435,2011-01-18,0.45,0.435
0.38,250400.0,0.4,2011-01-19,0.4,0.36
0.38,250400.0,0.4,2011-01-19,0.4,0.36
0.365,109800.0,0.4,2011-01-20,0.4,0.365
0.365,109800.0,0.4,2011-01-20,0.4,0.365
0.38,109500.0,0.34,2011-01-24,0.38,0.34
0.35,347600.0,0.36,2011-01-25,0.36,0.35
0.37,111800.0,0.365,2011-01-26,0.37,0.355
