OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.95,108313800.0,5.95,2014-12-02,5.95,5.95
8.92,1269829303.0,8.4,2014-12-03,8.92,7.61
8.5,271146011.0,7.88,2014-12-04,8.7,7.75
7.62,236788238.0,8.01,2014-12-05,8.25,7.42
8.35,188686747.0,8.52,2014-12-09,8.68,8.22
8.64,226489105.0,9.05,2014-12-10,9.18,8.57
9.11,191820848.0,8.71,2014-12-11,9.2,8.53
8.98,132636665.0,9.1,2014-12-12,9.4,8.96
9.0,117682542.0,9.44,2014-12-15,9.53,8.83
9.54,61031321.0,9.3,2014-12-16,9.62,9.18
9.29,107063642.0,9.08,2014-12-17,9.3,9.0
9.22,65901882.0,9.02,2014-12-18,9.36,8.85
9.15,45706871.0,9.05,2014-12-19,9.28,9.05
9.09,41323985.0,8.91,2014-12-22,9.15,8.86
8.98,135468894.0,9.74,2014-12-23,9.8,8.85
9.84,101374186.0,9.35,2014-12-29,9.98,9.35
9.44,55199477.0,9.5,2015-01-05,9.6,9.4
9.46,45317878.0,9.3,2015-01-06,9.46,9.15
9.3,44129953.0,9.5,2015-01-07,9.6,9.16
9.55,55762410.0,9.73,2015-01-08,9.8,9.43
9.83,98482946.0,10.0,2015-01-09,10.2,9.83
10.1,136508829.0,11.06,2015-01-12,11.1,9.8
11.2,103533884.0,11.44,2015-01-13,11.54,11.12
11.54,112849118.0,11.22,2015-01-14,11.92,11.22
11.5,21805412.0,11.48,2015-01-19,11.6,11.26
11.6,96064830.0,11.62,2015-01-20,11.9,11.6
11.8,49146614.0,11.62,2015-01-21,11.86,11.4
11.64,35477268.0,11.48,2015-01-22,11.74,11.38
11.58,170367838.0,12.14,2015-01-23,12.26,11.58
12.2,126522978.0,12.06,2015-01-26,12.66,11.88
12.1,100607254.0,11.7,2015-01-27,12.14,11.68
11.6,96516668.0,12.4,2015-01-28,12.5,11.6
12.44,157531258.0,12.3,2015-01-29,12.7,11.9
12.36,59544074.0,12.28,2015-01-30,12.6,12.18
12.44,41328454.0,12.44,2015-02-02,12.5,12.02
12.44,54553472.0,12.42,2015-02-03,12.66,12.36
12.46,110639324.0,12.6,2015-02-04,12.88,12.44
12.74,65525900.0,12.26,2015-02-05,12.74,12.18
12.3,19573566.0,12.54,2015-02-06,12.6,12.3
12.58,214588670.0,11.5,2015-02-09,12.68,11.28
11.54,95509400.0,12.0,2015-02-10,12.08,11.54
12.04,44055646.0,12.0,2015-02-11,12.26,11.76
12.0,12410344.0,12.0,2015-02-12,12.16,11.9
12.14,25863842.0,12.2,2015-02-13,12.3,12.1
12.2,9462086.0,12.0,2015-02-16,12.24,11.86
12.0,45492190.0,11.78,2015-02-17,12.0,11.76
11.68,71652622.0,11.46,2015-02-18,11.68,11.18
11.46,161164394.0,10.78,2015-02-20,11.46,10.42
10.7,102910224.0,10.42,2015-02-23,10.7,10.18
10.42,74005248.0,11.02,2015-02-24,11.34,10.42
11.1,45123668.0,10.8,2015-02-25,11.36,10.78
11.1,116863894.0,11.84,2015-02-26,11.84,11.02
11.72,67956156.0,11.18,2015-02-27,11.8,11.12
11.24,34369518.0,10.96,2015-03-02,11.46,10.8
11.02,25015582.0,11.08,2015-03-03,11.32,11.02
11.08,7605068.0,11.2,2015-03-04,11.34,11.06
11.26,7513662.0,11.34,2015-03-05,11.38,11.1
11.34,22988990.0,11.4,2015-03-06,11.6,11.3
11.4,14302204.0,11.1,2015-03-09,11.4,11.0
11.1,9718846.0,11.3,2015-03-10,11.34,11.1
11.12,6714654.0,11.12,2015-03-11,11.2,11.08
11.12,11428478.0,11.32,2015-03-12,11.34,11.1
11.32,37506618.0,11.1,2015-03-13,11.7,11.08
11.12,50729748.0,10.8,2015-03-16,11.34,10.78
10.84,9328180.0,10.88,2015-03-17,10.98,10.82
10.86,11897102.0,10.68,2015-03-18,10.88,10.68
10.68,41668122.0,10.2,2015-03-19,10.74,10.2
10.22,109043367.0,10.0,2015-03-20,10.46,9.6
10.04,24326790.0,10.38,2015-03-23,10.44,10.04
10.38,19275234.0,10.58,2015-03-24,10.7,10.2
10.64,13230496.0,10.56,2015-03-25,10.78,10.52
10.54,20627046.0,10.74,2015-03-26,10.82,10.32
10.94,38106832.0,10.4,2015-03-27,11.0,10.4
10.5,11573660.0,10.2,2015-03-30,10.5,10.18
10.2,39723802.0,10.0,2015-03-31,10.3,9.79
10.0,10536883.0,9.99,2015-04-01,10.0,9.9
9.96,31791961.0,9.65,2015-04-06,9.98,9.5
9.65,55236664.0,9.65,2015-04-07,9.7,9.23
9.7,11037640.0,9.87,2015-04-08,9.96,9.7
9.91,11192328.0,9.88,2015-04-10,10.0,9.87
9.89,7419785.0,9.71,2015-04-13,9.97,9.6
9.71,7947524.0,9.54,2015-04-14,9.71,9.54
9.55,17697991.0,9.3,2015-04-15,9.58,9.27
9.35,8876046.0,9.27,2015-04-16,9.36,9.27
9.3,25951520.0,9.02,2015-04-17,9.3,8.85
9.02,6313520.0,8.94,2015-04-20,9.02,8.78
8.9,37344235.0,8.58,2015-04-21,8.9,8.4
8.59,38018321.0,8.4,2015-04-22,8.59,8.14
8.4,21062026.0,8.94,2015-04-23,8.94,8.39
8.98,28371809.0,9.15,2015-04-24,9.17,8.7
9.14,29789281.0,9.1,2015-04-27,9.15,9.02
9.1,13858482.0,9.08,2015-04-28,9.1,8.87
9.01,22338863.0,9.1,2015-04-29,9.1,9.0
9.1,22002871.0,9.2,2015-04-30,9.59,9.1
9.2,14540725.0,9.2,2015-05-04,9.35,9.17
9.2,9875536.0,9.3,2015-05-05,9.45,9.2
9.29,4781138.0,9.23,2015-05-06,9.29,9.12
9.18,7667286.0,9.1,2015-05-07,9.21,9.05
9.11,4859195.0,9.13,2015-05-08,9.3,9.08
9.14,6968785.0,9.35,2015-05-11,9.39,9.13
9.36,21050885.0,9.45,2015-05-12,9.5,9.35
9.48,10491838.0,9.55,2015-05-13,9.6,9.45
9.56,6496109.0,9.59,2015-05-14,9.68,9.55
9.67,43616255.0,10.28,2015-05-15,10.28,9.6
10.28,13293136.0,10.1,2015-05-18,10.38,10.0
10.18,14840788.0,10.12,2015-05-19,10.18,10.0
10.12,49267910.0,10.62,2015-05-20,10.76,10.1
10.68,21148678.0,10.38,2015-05-21,10.76,10.2
10.38,15091082.0,10.2,2015-05-22,10.38,10.1
10.3,8436049.0,10.1,2015-05-25,10.46,9.97
10.12,19449474.0,9.71,2015-05-26,10.12,9.38
9.72,17362433.0,9.71,2015-05-27,9.8,9.6
9.71,11950867.0,9.69,2015-05-28,9.86,9.42
9.65,9401272.0,9.7,2015-05-29,10.0,9.65
9.7,936534.0,9.65,2015-06-01,9.8,9.65
9.8,6524009.0,9.65,2015-06-02,9.8,9.6
9.65,8482704.0,9.65,2015-06-03,9.66,9.55
9.6,4407578.0,9.73,2015-06-04,9.89,9.6
9.87,16375613.0,10.12,2015-06-05,10.36,9.6
