OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.29,3042300.0,0.28,2009-08-03,0.29,0.28
0.28,1202300.0,0.27,2009-08-04,0.28,0.27
0.27,250200.0,0.26,2009-08-06,0.27,0.26
0.27,1431100.0,0.27,2009-08-07,0.28,0.26
0.26,275800.0,0.26,2009-08-10,0.27,0.26
0.26,756900.0,0.27,2009-08-11,0.27,0.26
0.27,1009600.0,0.27,2009-08-12,0.27,0.26
0.26,1141400.0,0.26,2009-08-13,0.26,0.26
0.26,842500.0,0.25,2009-08-14,0.27,0.25
0.25,465800.0,0.245,2009-08-17,0.25,0.24
0.25,317600.0,0.25,2009-08-18,0.26,0.25
0.26,2979400.0,0.26,2009-08-19,0.28,0.25
0.26,591100.0,0.25,2009-08-20,0.26,0.25
0.25,270000.0,0.25,2009-08-24,0.25,0.25
0.25,652500.0,0.25,2009-08-25,0.25,0.25
0.25,422700.0,0.25,2009-08-26,0.26,0.245
0.25,3147700.0,0.27,2009-09-03,0.27,0.245
0.26,738400.0,0.26,2009-09-04,0.26,0.26
0.24,9600.0,0.24,2009-09-16,0.24,0.24
0.24,267400.0,0.24,2009-09-17,0.25,0.24
0.24,458300.0,0.235,2009-09-18,0.24,0.235
0.235,314900.0,0.235,2009-09-22,0.235,0.235
0.245,96350.0,0.235,2009-09-23,0.245,0.23
0.225,46900.0,0.215,2009-09-30,0.225,0.21
0.21,98800.0,0.215,2009-10-01,0.215,0.21
0.205,178400.0,0.21,2009-10-02,0.21,0.205
0.21,191150.0,0.21,2009-10-05,0.215,0.21
0.215,52550.0,0.21,2009-10-06,0.215,0.21
0.21,50400.0,0.21,2009-10-07,0.21,0.21
0.21,405800.0,0.225,2009-10-08,0.235,0.21
0.23,93500.0,0.23,2009-10-09,0.235,0.225
0.24,293150.0,0.225,2009-10-12,0.24,0.225
0.235,261250.0,0.22,2009-10-13,0.235,0.22
0.22,101700.0,0.22,2009-10-14,0.225,0.22
0.225,597800.0,0.22,2009-10-15,0.225,0.22
0.22,2807550.0,0.23,2009-10-16,0.245,0.22
0.235,339550.0,0.225,2009-10-19,0.24,0.225
0.225,290000.0,0.225,2009-10-20,0.225,0.22
0.225,130500.0,0.225,2009-10-21,0.225,0.225
0.225,2379850.0,0.24,2009-10-22,0.24,0.225
0.24,394300.0,0.23,2009-10-23,0.24,0.23
0.225,717550.0,0.23,2009-10-26,0.23,0.22
0.23,472800.0,0.225,2009-10-27,0.23,0.225
0.23,1045600.0,0.225,2009-10-28,0.23,0.225
0.22,962700.0,0.22,2009-10-29,0.225,0.215
0.22,242000.0,0.22,2009-10-30,0.22,0.22
0.21,633950.0,0.21,2009-11-03,0.215,0.21
0.22,277600.0,0.215,2009-11-04,0.23,0.215
0.225,133400.0,0.215,2009-11-05,0.225,0.215
0.22,94700.0,0.215,2009-11-06,0.22,0.215
0.21,66000.0,0.225,2009-11-09,0.225,0.21
0.225,108650.0,0.22,2009-11-10,0.225,0.22
0.22,108500.0,0.215,2009-11-11,0.22,0.215
0.205,43100.0,0.21,2009-12-15,0.21,0.205
0.205,279350.0,0.205,2009-12-16,0.215,0.205
0.21,60200.0,0.205,2009-12-17,0.21,0.205
0.205,61500.0,0.205,2009-12-18,0.205,0.205
0.205,254350.0,0.2,2009-12-22,0.21,0.2
0.2,42000.0,0.2,2009-12-23,0.2,0.2
0.205,98550.0,0.205,2009-12-29,0.21,0.2
0.2,48000.0,0.2,2010-01-04,0.2,0.2
0.21,1290000.0,0.21,2010-01-05,0.225,0.2
0.21,16750.0,0.215,2010-01-06,0.215,0.205
0.21,103700.0,0.2,2010-01-07,0.21,0.2
0.205,1615450.0,0.22,2010-01-08,0.23,0.205
0.225,978100.0,0.225,2010-01-11,0.23,0.225
0.22,125200.0,0.22,2010-01-12,0.22,0.215
0.23,237100.0,0.215,2010-01-13,0.23,0.215
0.22,2200.0,0.22,2010-01-14,0.22,0.22
0.205,362050.0,0.21,2010-01-18,0.22,0.205
0.22,122850.0,0.22,2010-01-19,0.22,0.215
0.21,2100.0,0.21,2010-01-20,0.21,0.21
0.21,84000.0,0.21,2010-01-21,0.21,0.21
0.21,64150.0,0.215,2010-01-22,0.215,0.205
0.205,242750.0,0.205,2010-01-25,0.215,0.205
0.215,74150.0,0.205,2010-01-26,0.215,0.205
0.2,456000.0,0.2,2010-01-27,0.2,0.2
0.205,35950.0,0.195,2010-01-28,0.205,0.195
0.2,100050.0,0.2,2010-01-29,0.205,0.2
0.2,88000.0,0.2,2010-02-01,0.2,0.2
0.21,2100.0,0.21,2010-02-02,0.21,0.21
0.2,20000.0,0.2,2010-02-04,0.2,0.2
0.195,19500.0,0.195,2010-02-05,0.195,0.195
0.205,12150.0,0.21,2010-02-08,0.21,0.2
0.205,95900.0,0.215,2010-03-08,0.215,0.205
0.2,339300.0,0.2,2010-03-15,0.205,0.195
0.195,31700.0,0.2,2010-03-16,0.2,0.195
0.2,132000.0,0.2,2010-03-17,0.2,0.2
0.185,15500.0,0.195,2010-03-31,0.195,0.185
0.19,133000.0,0.19,2010-04-20,0.19,0.19
0.195,1950.0,0.195,2010-04-21,0.195,0.195
0.2,2000.0,0.2,2010-04-22,0.2,0.2
0.185,30350.0,0.195,2010-04-23,0.195,0.185
0.185,37000.0,0.185,2010-04-29,0.185,0.185
0.185,143000.0,0.19,2010-04-30,0.19,0.185
0.185,241700.0,0.18,2010-05-05,0.185,0.18
0.18,128600.0,0.19,2010-05-18,0.19,0.18
0.185,207500.0,0.18,2010-05-19,0.185,0.18
0.185,205250.0,0.18,2010-05-20,0.185,0.18
0.175,105000.0,0.175,2010-05-21,0.175,0.175
0.175,56050.0,0.175,2010-05-24,0.18,0.175
